,Unnamed: 0,Company Name,Industry,Headquarters,Date of attack,Country
0,0,J.Irwin Company,Aerospace & Defence,"Largo, MD",2021-08-17,States
1,1,DiaSorin,Biotech & Pharmaceutical,"Stillwater, MN",2021-07-08,States
2,2,"Positive Promotions, Inc.",Consumer Products Manufacturing,"Hauppauge, NY",2021-06-02,States
3,3,AQUALUNG,Consumer Products Manufacturing,"Vista, CA",2021-06-02,States
4,4,Coastal Family Health Center,Healthcare Services & Hospital,"Biloxi, MS",2021-05-24,States
5,5,OSF Healthcare System,Healthcare Services & Hospital,"Peoria, IL",2021-05-18,States
6,6,CBN Logistic,Food & Drink Manufacturing,"Manila, Philippines",2021-05-14,Luzon
7,7,Gulfeagle Supply,Wholesale,"Tampa, FL",2021-05-11,States
8,8,Washoe Tribe,National Agencies,"Gardnerville, NV",2021-05-06,States
9,9,"Bridgelux, Inc. ",Electrical & Electronic Manufacturing,"Fremont, CA",2021-05-06,States
