Ransomware ,Company Name,Industry,Headquarters,Country,Date of attack,APAC? (Yes/No),Type of data leaked
Conti,Broward County Public Schools,Education,"Fort Lauderdale, FL",States,4/19/2021,No,Entire System
Conti,Faxinating Solutions,Technology,"Pointe-Claire, Canada",Canada,4/10/2021,No,Undisclosed
Conti,Comfort Keepers,Healthcare,"Irvine, CA",States,4/9/2021,No,Undisclosed
Conti,TRACEY FOX KING & WALTERS,Legal,"Houston, TX 77002, United States",States,4/9/2021,No,Entire System
Conti,Pitt Plastics LLC,Retail & Sales,"Tampa, FL",States,4/9/2021,No,Entire System
Conti,groupe-upperside,Retail & Sales,"Paris, France",France,4/6/2021,No,Entire System
Conti,Klenda Austerman LLC,Legal,"Wichita, KS",States,4/6/2021,No,Entire System
Conti,cross city church,Religious industry,"Euless, TX",States,4/6/2021,No,Entire System
Conti,FE Moran Security Solutions,Technology,"Champaign, IL",States,4/5/2021,No,Entire System
Conti,CODIFER S.A.S,Construction,"Bogotá, Colombia",Colombia,4/1/2021,No,Undisclosed
Conti,City of Kingman,Government,"Kingman, AZ",States,3/26/2021,No,Entire System
Conti,Buddy Gregg RVs and Motor Homes,Automotive,"Knoxville, TN",States,3/24/2021,No,Entire System
Conti,cross city church,Religious industry,"Euless, TX",States,3/24/2021,No,Entire System
Conti,TL Machine,Manufacturing,"Garden Grove, CA",States,3/23/2021,No,Employee Data
Conti,Diamonds international,Retail & Sales,"Milan, Italy",Italia,3/23/2021,No,PII
Conti,Health Aid Of Ohio,Healthcare,"Parma, OH",States,3/17/2021,No,Entire System
Conti,Advantech,Technology,"Taipei, Taiwan",Taiwan,3/17/2021,Yes,Entire System
Conti,"Lincoln County, Washington",Government,"Washington: Davenport, WA",States,3/17/2021,No,Entire System
Conti,Holly Poultry LLC,Food,"Baltimore, MD",States,3/17/2021,No,Entire System
Conti,Vander-Bend Manufacturing,Manufacturing,"San Jose, CA",States,3/17/2021,No,Entire System
